datetime, Max, Min, Average
01/14/2017 09, -999, -999, -999, 
01/14/2017 10, -999, -999, -999, 
01/14/2017 11, -999, -999, -999, 
01/14/2017 12, -999, -999, -999, 
01/14/2017 13, -999, -999, -999, 
01/14/2017 14, -999, -999, -999, 
01/14/2017 15, -999, -999, -999, 
01/14/2017 16, -999, -999, -999, 
01/14/2017 17, -999, -999, -999, 
01/14/2017 18, -999, -999, -999, 
01/14/2017 19, -999, -999, -999, 
01/14/2017 20, -999, -999, -999, 
01/14/2017 21, -999, -999, -999, 
01/14/2017 22, -999, -999, -999, 
01/14/2017 23, -999, -999, -999, 
01/15/2017 00, -999, -999, -999, 
01/15/2017 01, -999, -999, -999, 
01/15/2017 02, -999, -999, -999, 
01/15/2017 03, -999, -999, -999, 
01/15/2017 04, -999, -999, -999, 
01/15/2017 05, -999, -999, -999, 
01/15/2017 06, -999, -999, -999, 
01/15/2017 07, -999, -999, -999, 
01/15/2017 08, -999, -999, -999, 
01/15/2017 09, -999, -999, -999, 
01/15/2017 10, -999, -999, -999, 
01/15/2017 11, -999, -999, -999, 
01/15/2017 12, -999, -999, -999, 
01/15/2017 13, -999, -999, -999, 
01/15/2017 14, -999, -999, -999, 
01/15/2017 15, -999, -999, -999, 
01/15/2017 16, -999, -999, -999, 
01/15/2017 17, -999, -999, -999, 
01/15/2017 18, -999, -999, -999, 
01/15/2017 19, -999, -999, -999, 
01/15/2017 20, -999, -999, -999, 
01/15/2017 21, -999, -999, -999, 
01/15/2017 22, -999, -999, -999, 
01/15/2017 23, -999, -999, -999, 
01/16/2017 00, -999, -999, -999, 
01/16/2017 01, -999, -999, -999, 
01/16/2017 02, -999, -999, -999, 
01/16/2017 03, -999, -999, -999, 
01/16/2017 04, -999, -999, -999, 
01/16/2017 05, -999, -999, -999, 
01/16/2017 06, -999, -999, -999, 
01/16/2017 07, -999, -999, -999, 
01/16/2017 08, -999, -999, -999, 
01/16/2017 09, -999, -999, -999, 
01/16/2017 10, -999, -999, -999, 
01/16/2017 11, -999, -999, -999, 
01/16/2017 12, -999, -999, -999, 
01/16/2017 13, -999, -999, -999, 
01/16/2017 14, -999, -999, -999, 
01/16/2017 15, -999, -999, -999, 
01/16/2017 16, -999, -999, -999, 
01/16/2017 17, -999, -999, -999, 
01/16/2017 18, -999, -999, -999, 
01/16/2017 19, -999, -999, -999, 
01/16/2017 20, -999, -999, -999, 
01/16/2017 21, -999, -999, -999, 
01/16/2017 22, -999, -999, -999, 
01/16/2017 23, -999, -999, -999, 
01/17/2017 00, -999, -999, -999, 
01/17/2017 01, -999, -999, -999, 
01/17/2017 02, -999, -999, -999, 
01/17/2017 03, -999, -999, -999, 
01/17/2017 04, -999, -999, -999, 
01/17/2017 05, -999, -999, -999, 
01/17/2017 06, -999, -999, -999, 
01/17/2017 07, -999, -999, -999, 
01/17/2017 08, -999, -999, -999, 
01/17/2017 09, -999, -999, -999, 
01/17/2017 10, -999, -999, -999, 
01/17/2017 11, -999, -999, -999, 
01/17/2017 12, -999, -999, -999, 
01/17/2017 13, -999, -999, -999, 
01/17/2017 14, -999, -999, -999, 
01/17/2017 15, -999, -999, -999, 
01/17/2017 16, -999, -999, -999, 
01/17/2017 17, -999, -999, -999, 
01/17/2017 18, -999, -999, -999, 
01/17/2017 19, -999, -999, -999, 
01/17/2017 20, -999, -999, -999, 
01/17/2017 21, -999, -999, -999, 
01/17/2017 22, -999, -999, -999, 
01/17/2017 23, -999, -999, -999, 
01/18/2017 00, -999, -999, -999, 
01/18/2017 01, -999, -999, -999, 
01/18/2017 02, -999, -999, -999, 
01/18/2017 03, -999, -999, -999, 
01/18/2017 04, -999, -999, -999, 
01/18/2017 05, -999, -999, -999, 
01/18/2017 06, -999, -999, -999, 
01/18/2017 07, -999, -999, -999, 
01/18/2017 08, -999, -999, -999, 
01/18/2017 09, -999, -999, -999, 
01/18/2017 10, -999, -999, -999, 
